""	"Other_DHS_1_obs_exp"	"Other_DHS_2_obs_exp"	"Other_DHS_3_obs_exp"	"Other_DHS_4_obs_exp"	"Other_DHS_5_obs_exp"	"APOBEC_DHS_1_obs_exp"	"APOBEC_DHS_2_obs_exp"	"APOBEC_DHS_3_obs_exp"	"APOBEC_DHS_4_obs_exp"	"APOBEC_DHS_5_obs_exp"	"Other_Rep_1_obs_exp"	"Other_Rep_2_obs_exp"	"Other_Rep_3_obs_exp"	"Other_Rep_4_obs_exp"	"Other_Rep_5_obs_exp"	"APOBEC_Rep_1_obs_exp"	"APOBEC_Rep_2_obs_exp"	"APOBEC_Rep_3_obs_exp"	"APOBEC_Rep_4_obs_exp"	"APOBEC_Rep_5_obs_exp"	"Other_XPD_1_obs_exp"	"Other_XPD_2_obs_exp"	"Other_XPD_3_obs_exp"	"Other_XPD_4_obs_exp"	"Other_XPD_5_obs_exp"	"APOBEC_XPD_1_obs_exp"	"APOBEC_XPD_2_obs_exp"	"APOBEC_XPD_3_obs_exp"	"APOBEC_XPD_4_obs_exp"	"APOBEC_XPD_5_obs_exp"	"Other_XR_1_obs_exp"	"Other_XR_2_obs_exp"	"Other_XR_3_obs_exp"	"Other_XR_4_obs_exp"	"Other_XR_5_obs_exp"	"APOBEC_XR_1_obs_exp"	"APOBEC_XR_2_obs_exp"	"APOBEC_XR_3_obs_exp"	"APOBEC_XR_4_obs_exp"	"APOBEC_XR_5_obs_exp"	"Other_CBS_log_obs_exp"	"Other_Flank_log_obs_exp"	"APOBEC_CBS_log_obs_exp"	"APOBEC_log_Flank_obs_exp"	"Other_Coding_exon_obs_exp"	"Other_Intron_obs_exp"	"Other_3_UTR_obs_exp"	"Other_5_UTR_obs_exp"	"Other_Intergenic_obs_exp"	"APOBEC_Coding_exon_obs_exp"	"APOBEC_Intron_obs_exp"	"APOBEC_3_UTR_obs_exp"	"APOBEC_5_UTR_obs_exp"	"APOBEC_Intergenic_obs_exp"	"Other_Open_obs_exp"	"Other_Close_obs_exp"	"APOBEC_Open_obs_exp"	"APOBEC_Close_obs_exp"	"Genotype"
"1"	0.357901	-0.184541	-0.250243	-0.291331	-0.493463	0.127752	0.0457784	-0.185597	0.0950197	-0.0880968	0.0242913	0.0164821	-0.188774	-0.26298	-0.142728	-0.174148	-0.0757815	-0.0544777	-0.0665452	0.252839	-0.513088	-0.372795	-0.0596077	-0.130326	0.163937	-0.194374	-0.075634	-0.112144	0.21548	0.12303	0.564466	-0.239857	-0.349655	-0.35044	-0.572499	0.167486	-0.0478439	-0.104911	-0.0495271	0.0393911	-1.45943	-0.462577	-1.75275	0.220479	-0.719127	-0.283364	-1.20878	-0.995871	0.245788	-0.248226	0.0338775	0.169874	-0.126733	-0.0171659	-0.36841	0.0501743	0.0892405	-0.0913946	"WT"
"2"	0.156772	-0.306577	-0.346716	-0.520999	-0.819228	0.176833	0.14355	-0.265436	-0.348199	-0.0868	-0.0582026	-0.0940161	-0.373552	-0.418668	-0.430795	-0.0299415	-0.012148	-0.257789	-0.276997	0.0419298	-0.5337	-0.548883	-0.210312	-0.384813	-0.0891584	-0.187978	-0.0384196	8.65591e-05	-0.221887	0.107915	0.31779	-0.329074	-0.528779	-0.701016	-0.645744	0.229133	-0.0240691	-0.161939	-0.333096	-0.0620079	-0.443607	-1.35206	-1.11103	0.0206835	-0.471455	-0.497054	-1.65764	-1.9342	0.351538	-0.50995	-0.181225	-0.43633	-1.01435	0.161578	-0.594445	-0.0945813	-0.126012	-0.15527	"WT"
"3"	0.165455	0.0286823	0.00393319	-0.0806828	-0.199663	0.11031	0.176833	0.0261343	-0.140186	-0.213298	0.745065	0.206818	-0.13715	-0.543663	-0.902443	0.937826	0.225263	-0.334514	-0.638804	-1.01412	0.290023	0.0810669	-0.0167295	-0.215793	-0.183582	0.361005	0.162171	0.105155	-0.254714	-0.429834	0.220181	0.207218	0.0801392	-0.155836	-0.450459	0.260255	0.355411	-0.0274603	-0.217711	-0.502419	-0.00144197	-0.696424	-1.33343	-0.806756	-0.173832	-0.361895	-0.57231	-0.463452	0.266745	-0.337392	-0.391721	-0.937165	-1.34625	0.270433	-0.626275	0.274113	-0.715261	0.281586	"WT"
"4"	0.234526	-0.108173	-0.454901	-0.289572	-0.436852	0.0589537	-0.0816122	0.00746822	0.0708289	-0.0859759	0.214722	0.135732	-0.168682	-0.49429	-0.67254	0.145169	0.0119106	-0.0453242	-0.0759184	-0.200443	0.00910348	-0.182211	-0.105972	-0.227275	-0.423799	0.256805	0.082689	-0.112001	-0.23735	-0.0464248	0.247867	-0.206928	-0.268999	-0.261664	-0.530902	-0.0555418	0.142949	0.107715	-0.188815	-0.0561477	0.336432	-0.86107	-1.27501	-0.10819	-0.110065	-0.433405	-0.337683	-0.899176	0.307906	0.187299	-0.0986863	0.0179504	0.525858	0.0748753	-0.612313	0.0959919	-0.13986	0.117934	"WT"
"5"	0.3186	-0.103138	-0.143564	-0.29717	-0.459651	0.0999011	-0.0361974	0.0362431	0.0288379	-0.253883	0.435703	0.154311	-0.227119	-0.502495	-0.83475	0.51919	0.207443	-0.132562	-0.440984	-0.701161	0.172872	-0.0389442	-0.00242143	-0.338453	-0.389772	0.420563	0.0569858	0.011195	-0.283413	-0.431227	0.205843	-0.0173499	-0.0206434	-0.274456	-0.531433	-0.0666872	0.0264177	0.16945	0.0353987	-0.310098	1.56206	-0.653364	-1.15056	0.0463653	-0.233498	-0.422694	-0.841459	-0.358959	0.305971	0.0771746	-0.172854	-0.0302833	0.430082	0.137307	-0.734438	0.217988	-0.404947	0.231666	"WT"
"6"	0.262974	-0.0750078	-0.084034	-0.254363	-0.310874	0.0672257	0.0602826	0.0620941	0.0297709	-0.128025	0.281953	0.135981	-0.190403	-0.378243	-0.303477	0.105705	0.0202141	-0.000535339	-0.0679252	-0.0422993	-0.134018	-0.138218	0.0440723	-0.109634	-0.0682882	0.113714	-0.0240823	-0.0180261	0.0568471	-0.0305072	0.441823	-0.035662	-0.239338	-0.271127	-0.413659	0.157988	0.00178783	0.0720509	-0.0291876	-0.117039	-1.44184	-0.452147	0.0380006	-0.513611	-0.463915	-0.267366	-0.466634	-1.58576	0.229514	0.211	-0.0149018	-0.221796	0.0562506	0.0116674	-0.420204	0.124606	-0.0396929	0.0892134	"WT"
"7"	0.142165	-0.0306133	0.0352298	-0.12405	-0.156666	0.0267151	0.0557371	0.0059748	0.135456	0.143132	0.667701	0.242743	-0.199081	-0.533057	-0.762353	0.169527	-0.00909886	-0.0329303	-0.0578721	0.0749986	0.408005	0.0718999	-0.0911026	-0.28629	-0.300427	0.249931	0.0660823	-0.0355585	0.0163822	0.0644138	0.212756	0.218781	-0.0245958	-0.144178	-0.459854	-0.0760294	0.16043	0.0338635	0.0737106	0.166561	1.8979	-0.271144	0.22694	0.0759981	-0.00512634	-0.313681	-0.437531	-0.0751187	0.224707	0.591603	0.0115386	0.426608	1.04875	-0.0330661	-0.611941	0.285343	0.0377477	0.0660685	"WT"
"8"	0.185321	-0.130045	-0.136552	-0.134498	-0.345431	0.128082	0.178555	-0.0381278	-0.173869	0.0177224	0.518082	0.222434	-0.178185	-0.426672	-0.745275	0.342407	0.129375	-0.0670408	-0.246291	-0.307494	0.092018	-0.0681173	-0.0561297	-0.214157	-0.256988	0.156073	0.103625	0.0745054	-0.0775692	-0.130552	0.231494	0.0545707	-0.079385	-0.215715	-0.588767	-0.0579247	0.221085	0.104337	-0.0013871	-0.155931	0.397825	-0.482994	-0.584962	-0.275233	-0.236291	-0.315969	-0.705321	-1.08086	0.242779	0.153157	-0.0622413	0.153585	-0.0635026	0.0497562	-0.637973	0.22694	-0.312851	0.259953	"WT"
"9"	0.0410186	-0.213951	-0.339822	-0.400119	-0.429838	0.0591476	-0.079571	0.0722568	0.0550846	0.0417897	0.366789	0.119024	-0.246979	-0.405694	-0.622974	0.238958	0.0903386	-0.0333761	-0.0919942	-0.197112	-0.1735	-0.287653	-0.127721	-0.29708	-0.401134	0.158117	0.0637376	0.0940469	-0.0500886	-0.121417	0.239728	-0.197327	-0.342964	-0.463448	-0.647806	0.134668	0.0319033	0.0466727	-0.0173835	-0.0491658	0.227692	-0.598326	-0.400537	0.115979	0.00252251	-0.391497	-0.351441	-0.393797	0.270433	0.38259	-0.0421181	0.268818	1.50284	0.0140267	-0.696751	0.121732	-0.14905	0.0944658	"WT"
"10"	0.208804	-0.00345651	-0.0255603	-0.0739884	-0.346867	0.0361165	0.0821303	-0.061922	-0.0929155	-0.106444	0.777434	0.301869	-0.248955	-0.690742	-1.03929	0.555168	0.0471614	-0.0957294	-0.313612	-0.344121	0.305947	0.0925051	0.0559036	-0.297936	-0.398178	0.216982	0.0310987	-0.0798927	-0.112269	-0.213611	0.119701	0.178683	0.0216219	-0.0784982	-0.491056	-0.248502	0.104082	0.131576	-0.0139386	-0.146435	0.713115	-0.453597	0.943419	-0.0365717	-0.580099	-0.345982	-0.658691	-0.278818	0.249688	0.0119249	-0.0680568	0.0270408	-0.244887	0.0452053	-0.857696	0.387517	-0.246996	0.223497	"WT"
