""	"Other_DHS_1_obs_exp"	"Other_DHS_2_obs_exp"	"Other_DHS_3_obs_exp"	"Other_DHS_4_obs_exp"	"Other_DHS_5_obs_exp"	"APOBEC_DHS_1_obs_exp"	"APOBEC_DHS_2_obs_exp"	"APOBEC_DHS_3_obs_exp"	"APOBEC_DHS_4_obs_exp"	"APOBEC_DHS_5_obs_exp"	"Other_Rep_1_obs_exp"	"Other_Rep_2_obs_exp"	"Other_Rep_3_obs_exp"	"Other_Rep_4_obs_exp"	"Other_Rep_5_obs_exp"	"APOBEC_Rep_1_obs_exp"	"APOBEC_Rep_2_obs_exp"	"APOBEC_Rep_3_obs_exp"	"APOBEC_Rep_4_obs_exp"	"APOBEC_Rep_5_obs_exp"	"Other_XPD_1_obs_exp"	"Other_XPD_2_obs_exp"	"Other_XPD_3_obs_exp"	"Other_XPD_4_obs_exp"	"Other_XPD_5_obs_exp"	"APOBEC_XPD_1_obs_exp"	"APOBEC_XPD_2_obs_exp"	"APOBEC_XPD_3_obs_exp"	"APOBEC_XPD_4_obs_exp"	"APOBEC_XPD_5_obs_exp"	"Other_XR_1_obs_exp"	"Other_XR_2_obs_exp"	"Other_XR_3_obs_exp"	"Other_XR_4_obs_exp"	"Other_XR_5_obs_exp"	"APOBEC_XR_1_obs_exp"	"APOBEC_XR_2_obs_exp"	"APOBEC_XR_3_obs_exp"	"APOBEC_XR_4_obs_exp"	"APOBEC_XR_5_obs_exp"	"Other_CBS_log_obs_exp"	"Other_Flank_log_obs_exp"	"APOBEC_CBS_log_obs_exp"	"APOBEC_log_Flank_obs_exp"	"Other_Coding_exon_obs_exp"	"Other_Intron_obs_exp"	"Other_3_UTR_obs_exp"	"Other_5_UTR_obs_exp"	"Other_Intergenic_obs_exp"	"APOBEC_Coding_exon_obs_exp"	"APOBEC_Intron_obs_exp"	"APOBEC_3_UTR_obs_exp"	"APOBEC_5_UTR_obs_exp"	"APOBEC_Intergenic_obs_exp"	"Other_Open_obs_exp"	"Other_Close_obs_exp"	"APOBEC_Open_obs_exp"	"APOBEC_Close_obs_exp"
"Sample.38"	0.020584	-0.0892965	-0.0505338	-0.107679	-0.0610473	-0.0960054	0.0674873	-0.137235	-0.186617	0.14599	-0.140135	-0.0936697	-0.0573271	0.0362994	0.185143	-0.277032	-0.127955	0.0108228	0.0490731	0.256648	-0.337829	-0.157021	-0.0527363	0.130232	0.11027	-0.299511	-0.0686467	-0.286237	0.186539	0.185778	0.0293751	-0.140873	-0.0877763	-0.0547579	-0.0369935	-0.101183	-0.131143	-0.0835295	0.0231986	0.0973007	2.53703	0.133261	1.34465	0.472758	-0.565876	-0.0103494	-0.160826	-0.105843	0.0197873	0.0775575	0.0295589	-0.0179224	0.87171	-0.0286974	0.0611679	-0.0861061	0.151755	-0.165464
"Sample.100"	0.080262	0.00850123	-0.0824552	-0.0104352	-0.129295	0.0458483	-0.128943	0.0425883	0.106456	0.0971793	0.210613	0.124037	-0.0616931	-0.178549	-0.351778	0.0944658	-0.102828	0.0498956	-0.0280147	0.0029401	0.151716	0.0441703	-0.0217282	-0.144131	-0.170152	0.0658756	0.0362431	0.0630059	-0.0154675	0.0252556	-0.0726223	0.0249721	0.0249579	-0.0374599	-0.0656239	-0.307134	-0.0981117	0.0470777	0.152157	0.300217	1.09659	0.253408	1.71312	0.522488	-0.0954442	-0.168494	-0.102361	0.442227	0.134458	0.440633	0.0368198	0.243645	1.3893	-0.0619265	-0.284743	0.0796614	0.0417897	-0.0278264
"Sample.18"	0.137058	-0.0380478	-0.000933726	0.0353705	-0.0102012	0.048278	0.0411308	0.0685883	0.0809032	0.260291	-0.0119051	0.0320726	-0.0400459	-0.00782182	-0.0501528	-0.506527	-0.270443	0.0199296	0.230178	0.492674	-0.0862945	0.0229856	-0.0600994	0.0660823	0.155581	-0.256473	-0.0889159	0.0107655	0.224732	0.487229	0.134089	-0.0212025	1.44269e-05	-0.0257159	0.0372838	-0.39128	-0.195789	-0.0737227	0.171271	0.727276	1.21868	0.228172	2.41335	1.16978	-0.14482	-0.0818168	-0.360823	0.677946	0.0719823	0.381283	0.1741	0.31603	2.0425	-0.195471	-0.0485166	0.0594383	0.385707	-0.203515
"Sample.317"	0.148648	-0.116076	-0.102352	-0.11596	-0.106262	0.0213092	0.0208542	-0.122347	-0.0154194	-0.01047	0.0177794	0.0338916	-0.11756	-0.148139	-0.248696	0.0133551	-0.0107215	-0.0932125	-0.117791	-0.191254	0.0846902	-0.0518567	-0.110868	-0.200974	-0.00975378	0.126946	-0.0564087	-0.219996	0.0695647	-0.0329111	0.00419215	-0.0332418	-0.115905	-0.0737743	-0.0555058	-0.139639	-0.0502066	-0.125628	-0.147868	0.293535	1.52838	0.0584966	1.40136	0.418557	0.00325681	-0.18114	0.0016005	0.148166	0.144216	0.249627	-0.147025	0.0112666	1.21591	0.0948981	-0.236583	0.0477478	-0.0772435	0.0040339
"Sample.52"	0.253384	-0.115982	-0.340249	-0.355464	-0.257081	0.106496	0.0590783	0.107768	0.0581502	0.0708289	-0.0330971	0.10161	-0.0807255	-0.315907	-0.510286	-0.156386	-0.000704207	0.0657239	0.0664268	0.11917	-0.146926	-0.31493	-0.103333	-0.133111	-0.0520526	0.118532	0.0781316	-0.0224563	0.0797297	0.146264	0.314012	-0.173555	-0.168951	-0.41309	-0.376871	-0.165491	0.189388	0.184864	0.0987564	0.0657239	0.444179	-0.567581	0.824426	0.141799	0.11446	-0.322354	-0.693208	0.177038	0.250295	0.36586	0.0365244	0.453554	1.20496	-0.0472982	-0.552304	0.117615	0.0993087	0.0724626
"Sample.120"	0.126999	-0.0233768	-0.08783	-0.00167739	0.0965452	0.000274086	0.0224317	0.0831521	0.146382	0.310875	-0.22297	-0.0614869	-0.0987867	0.0332997	0.198972	-0.754504	-0.362789	0.006061	0.294053	0.620361	-0.145583	-0.0734312	-0.00385425	0.00788439	0.269297	-0.263541	-0.103683	0.0103072	0.220417	0.561175	-0.0302612	-0.166861	-0.130451	-0.0201078	0.371938	-0.499212	-0.236718	-0.0390243	0.18039	0.815149	6.29866	0.561135	3.63471	1.21788	0.0104218	-0.0161852	-0.155295	1.12419	0.0186484	0.397704	0.239557	0.375935	2.14338	-0.266104	0.0938171	-0.0698985	0.492571	-0.313746
"Sample.123"	0.0215224	0.0520541	0.0229572	-0.0134522	-0.00246045	0.0192891	0.0764496	0.0205698	-0.0267973	-0.040123	0.186006	-0.124759	-0.234075	-0.0809575	0.279697	0.327848	-0.0673734	-0.287723	-0.155314	0.165159	-0.274953	-0.095788	0.00363102	0.173933	0.250574	-0.108187	-0.0674293	-0.0799842	0.121201	0.154505	0.177803	0.015155	-0.0319491	-0.0509731	-0.0466975	0.231322	0.00898878	-0.0201107	-0.0389264	-0.152292	-0.769445	0.0453591	-0.094911	-0.114497	-0.50411	0.00315605	-0.137205	-0.550638	0.00512687	-0.439039	-0.104189	-0.114195	0.0254683	0.0843092	0.0689872	0.0453032	-0.0326912	0.0959109
"Sample.275"	0.0885487	0.054529	0.0631163	0.0195027	-0.0228197	0.0184917	0.0759981	0.119861	0.125466	0.173537	0.272871	0.0434145	-0.0898768	-0.132776	-0.168214	-0.143663	-0.0879373	-0.0258231	0.130681	0.238714	0.197714	0.0828388	0.0318186	-0.0746066	-0.050114	0.0137981	0.108906	0.00820001	0.0805758	0.285698	-0.0487449	0.1139	0.0728055	0.0251422	0.0377617	-0.397402	-0.0238036	0.0291914	0.162197	0.575438	3.11745	0.195562	2.98464	1.00683	0.0489058	-0.0772024	0.12079	0.845358	0.0602273	0.541773	0.112273	0.324511	1.98034	-0.125979	-0.12625	0.117097	0.198947	-3.75106e-05
"Sample.277"	0.0334547	-0.0341293	-0.027397	-0.0298414	0.0498398	0.13888	-0.227575	0.0414813	-0.137089	0.0126831	0.0723254	-0.0236173	-0.0848111	-0.0780412	-0.131906	0.0353565	-0.0612475	-0.103006	-0.0707059	0.0436525	0.12132	-0.0647711	-0.09885	-0.0543968	0.0745876	0.0892676	-0.0675412	-0.129159	-0.194858	0.136572	-0.120707	-0.00975523	0.00713808	-0.0693535	0.167885	-0.159238	-0.00620392	-0.144399	-0.0337039	0.171156	6.26254	0.250282	2.58941	0.719841	-0.0562977	-0.123608	-0.0529369	0.619357	0.103773	0.0397841	-0.0563292	-0.2371	1.41889	0.045415	-0.145629	0.0362571	-0.0444179	0.0151978
"Sample.251"	0.0150122	0.0270691	0.0317904	0.0722842	0.0172663	-0.05193	-0.0299342	0.181039	0.232219	0.232096	0.0550151	0.0580532	-0.024653	-0.0860356	-0.0862638	-0.123206	-0.107586	-0.00380652	0.110323	0.182807	0.0771336	0.0625777	-0.0524251	0.0143696	0.0583442	0.0619559	0.0471335	-0.0169791	0.169707	0.301424	-0.121767	-0.0165266	0.023085	0.0805212	0.178402	-0.521084	-0.0497929	0.142897	0.193494	0.593956	2.55482	0.463204	1.6939	0.776491	0.275722	-0.0685635	0.210439	0.655169	0.0336098	0.59537	0.108759	0.378944	1.23568	-0.114123	-0.0442081	0.0602826	0.195234	-0.0503351
