	A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T	Genotype
1	0.004481141	0.004294786	0.007098066	0.002919939	0.004932354	0.004793762	0.006890873	0.004051165	0.003839654	0.003048274	0.005745417	0.002892061	0.010351762	0.007125932	0.009428766	0.009920174	0.003567224	0.002454163	0.003785635	0.003659164	0.002482296	0.002849123	0.005814175	0.002678456	0.001527604	0.002498585	0.006994421	0.002424228	0.076439109	0.023920021	0.032865986	0.081673412	0.009286574	0.006237665	0.074529695	0.006505181	0.009091005	0.009768422	0.053619609	0.009943769	0.008876621	0.00909485	0.058203572	0.00952679	0.091344432	0.025383726	0.102638858	0.03718049	0.003345599	0.002850306	0.002039727	0.003172386	0.002351675	0.001766016	0.001672684	0.001877407	0.002096631	0.001447761	0.001424138	0.00150915	0.006718274	0.00159835	0.001035785	0.001609118	0.010007954	0.002761234	0.005730663	0.004126487	0.004057792	0.002896267	0.003638821	0.004261415	0.006499557	0.004406229	0.003955939	0.003915631	0.00428826	0.003377645	0.002479607	0.002073287	0.002336151	0.001202473	0.001845468	0.001502709	0.000922225	0.000953649	0.001232504	0.00274161	0.000838652	0.001007138	0.004351533	0.001672301	0.001458008	0.000874569	0.00122411	0.002166121	WT
2	0.003266171	0.003297205	0.003260294	0.002220604	0.002736412	0.00299123	0.006053303	0.001937679	0.003231435	0.002506475	0.00605821	0.002062905	0.015209737	0.008619735	0.016778889	0.010580083	0.00250244	0.001521787	0.003651529	0.002729917	0.002167807	0.0012962	0.005103765	0.002638934	0.001410908	0.001156835	0.003717538	0.002602073	0.069255336	0.01772778	0.032815349	0.07730573	0.006142352	0.005523523	0.081116106	0.004665306	0.008386924	0.006655487	0.051749804	0.007676899	0.006462871	0.007188902	0.068705607	0.007126398	0.097616726	0.029638301	0.147000885	0.047343647	0.002479924	0.001791976	0.001481179	0.002235019	0.000914971	0.001265424	0.00088961	0.000903397	0.00069338	0.00117963	0.001177447	0.001101602	0.002332112	0.000781253	0.000674712	0.001671509	0.007678226	0.004001262	0.006138863	0.003931004	0.003786965	0.002725528	0.003396692	0.003301504	0.004275842	0.00360828	0.004557155	0.003169915	0.00272605	0.002676207	0.002577745	0.001867655	0.001621489	0.001055548	0.000927968	0.000867713	0.00073706	0.000622978	0.000760212	0.001084076	0.000866725	0.001006155	0.001569929	0.001236492	0.000866663	0.000864365	0.00115912	0.001347441	WT
3	0.005883012	0.005883333	0.005858708	0.00323022	0.004648707	0.004281719	0.005332212	0.003462479	0.00541235	0.0035666	0.006185528	0.003283285	0.010877502	0.007966957	0.01137939	0.014645314	0.003220627	0.003872574	0.004824818	0.003607079	0.001549569	0.002239668	0.00627319	0.002487133	0.001683842	0.001382967	0.007640947	0.002106258	0.037673298	0.010603907	0.018050067	0.041899695	0.012281323	0.010500633	0.108558416	0.006191255	0.00934437	0.012713412	0.063986539	0.010094832	0.009802367	0.010918163	0.088780523	0.011398575	0.074506464	0.026088978	0.102806904	0.040764096	0.005377247	0.002659681	0.002405115	0.004447116	0.001611953	0.001697746	0.001453289	0.001475812	0.002061389	0.001742034	0.001843884	0.001425857	0.005330083	0.001449586	0.001508703	0.001960686	0.010502435	0.004540918	0.007875574	0.003648025	0.004432872	0.003704174	0.003675967	0.003993372	0.00778747	0.005134417	0.006280732	0.005287553	0.004372334	0.003997344	0.003291716	0.002546638	0.004284993	0.001492016	0.00160341	0.001632926	0.001007471	0.000668809	0.001624265	0.001866468	0.001908694	0.001466976	0.005243547	0.002317017	0.000999391	0.001054244	0.001417267	0.002140979	WT
4	0.007537751	0.007144894	0.012980592	0.007039866	0.007975548	0.008988179	0.009807918	0.006827484	0.006667049	0.005793513	0.00646448	0.003874192	0.009929945	0.008452899	0.011433272	0.010018329	0.004577582	0.003757685	0.007347505	0.0054712	0.002936603	0.003183313	0.006687217	0.004955991	0.0030771	0.002793301	0.002068633	0.003345893	0.024667742	0.009170598	0.015337316	0.031279448	0.013488607	0.010426253	0.090374312	0.012511066	0.01618469	0.018023172	0.055280992	0.018403014	0.009316774	0.009259276	0.059731792	0.009685479	0.036011761	0.017264647	0.059676103	0.023125642	0.006926338	0.003088774	0.004088757	0.004765314	0.005393682	0.002888362	0.004040085	0.004781337	0.003363981	0.003062434	0.003275966	0.003715464	0.005652272	0.002434952	0.002599235	0.0036997	0.032780685	0.005762638	0.016355027	0.010962691	0.017994852	0.005301425	0.006895483	0.010117927	0.017796546	0.005408128	0.007166176	0.008317573	0.012014777	0.004588948	0.004776094	0.004612613	0.003463169	0.001475235	0.001943835	0.002814745	0.001718341	0.001974324	0.001944101	0.005922689	0.002604373	0.002085061	0.005446294	0.003842128	0.00204192	0.001966692	0.002729197	0.003043043	WT
5	0.005544525	0.006668963	0.014354115	0.003699886	0.006747448	0.006584753	0.011757756	0.004265515	0.004633814	0.002576919	0.012123872	0.003741314	0.006353845	0.005842081	0.01062326	0.006850146	0.005633952	0.003412027	0.010765586	0.005605887	0.002542516	0.002606465	0.010451339	0.003757716	0.002379526	0.002880086	0.014397098	0.002838238	0.019614044	0.008178914	0.013891956	0.021936778	0.014934445	0.010856451	0.109091274	0.010314833	0.01193027	0.012072048	0.077078622	0.013304346	0.009392865	0.009701341	0.072743231	0.009804824	0.026336227	0.011333638	0.077631518	0.018430156	0.006211576	0.004052849	0.004615908	0.003400634	0.002377845	0.002249944	0.003649644	0.003796599	0.003179945	0.002673158	0.00323997	0.003340581	0.004335982	0.001829589	0.002094624	0.002628272	0.026596045	0.007430223	0.016204782	0.00962307	0.011049988	0.00567843	0.007388304	0.007683594	0.016058725	0.007255715	0.010919899	0.005567634	0.008932123	0.004848411	0.005998241	0.004177075	0.003936915	0.002566804	0.003830221	0.00166414	0.001678479	0.001607103	0.002314408	0.00207909	0.003338943	0.002291278	0.016079851	0.001979603	0.001907832	0.00164663	0.003332356	0.002440538	WT
6	0.008790144	0.006398926	0.007141651	0.00644898	0.006384267	0.00526046	0.007133995	0.005693805	0.012401246	0.004267545	0.007356135	0.008359991	0.00902895	0.007089342	0.009519717	0.019000286	0.00299516	0.002258445	0.005225598	0.003102041	0.001424	0.001931055	0.003646264	0.001750044	0.001489365	0.001913037	0.003861971	0.00228569	0.003642868	0.003147668	0.004759859	0.006373013	0.008703328	0.005871956	0.175580103	0.005632654	0.004675467	0.005726577	0.090046868	0.005545913	0.004589677	0.006879577	0.113284478	0.007044936	0.017141595	0.030030454	0.107096819	0.017179425	0.005095925	0.002327908	0.002407404	0.004284697	0.002036828	0.002886315	0.001749927	0.004431647	0.001273421	0.001714615	0.001893036	0.002462297	0.008250341	0.001598543	0.001201587	0.003633635	0.009384996	0.004065642	0.005386864	0.004758824	0.004650757	0.004992544	0.004255996	0.008205129	0.006096985	0.004402391	0.005387872	0.005074733	0.004756574	0.004951044	0.002980859	0.003109663	0.004310303	0.001803309	0.001573155	0.004319818	0.001052361	0.002548278	0.002398048	0.035387361	0.001350598	0.001853638	0.002795869	0.011620839	0.002125726	0.002220199	0.00251871	0.007301443	WT
7	0.010046717	0.010398038	0.013655122	0.0043679	0.005936016	0.006960111	0.006509902	0.004048599	0.004425184	0.004120054	0.008924719	0.003155875	0.004421741	0.005504664	0.007403624	0.007462284	0.006967884	0.003231823	0.014305366	0.003656846	0.00194914	0.003355768	0.007693521	0.002392354	0.002496257	0.003021373	0.007551685	0.00245457	0.002586301	0.004657792	0.007403624	0.00775782	0.029572997	0.011803178	0.112492193	0.009142116	0.012669408	0.019264593	0.063915405	0.021991254	0.0090773	0.017578896	0.091306743	0.01916902	0.005840035	0.012279635	0.071815148	0.015220105	0.012285845	0.006487014	0.004626925	0.006948606	0.002027611	0.008056758	0.001935565	0.002129358	0.002016729	0.002940867	0.009023711	0.003026577	0.008956786	0.001491853	0.001897736	0.005782972	0.034796683	0.007221393	0.01441465	0.008325217	0.008110442	0.006988995	0.006774477	0.006879464	0.010803906	0.007957641	0.015764314	0.00594106	0.006756873	0.006464695	0.003709212	0.006590887	0.005548446	0.002937516	0.002313462	0.003146539	0.000633628	0.002426734	0.001532322	0.001556069	0.001584573	0.002594883	0.011959135	0.0024661	0.001492798	0.001989137	0.00345043	0.00527271	WT
8	0.016863818	0.007556073	0.008227423	0.005483786	0.008258075	0.005687536	0.009110473	0.005394276	0.009068641	0.0035912	0.010423654	0.0044121	0.009447741	0.006585455	0.012490235	0.011701099	0.009209319	0.001807531	0.007678928	0.002656209	0.001662825	0.002280256	0.007113657	0.002541907	0.001794586	0.002143136	0.006080465	0.001971888	0.033251824	0.009777726	0.022638551	0.040276086	0.020468951	0.006015227	0.06499664	0.006383469	0.006819451	0.007915373	0.044054754	0.00962432	0.005814458	0.007153439	0.078322179	0.007024852	0.043385714	0.017278447	0.072131106	0.032579224	0.013171518	0.00578167	0.0032837	0.007603102	0.003287047	0.011852148	0.002449037	0.002590615	0.003037777	0.001824033	0.009720961	0.003333062	0.009560034	0.001957527	0.001728117	0.008285533	0.025758007	0.007872363	0.009926155	0.012607326	0.006146511	0.004810457	0.004557929	0.00720191	0.007017264	0.005253216	0.019396069	0.005744214	0.005219083	0.005802669	0.010041268	0.01088597	0.00404506	0.000955008	0.00150112	0.001506797	0.001015511	0.001617133	0.001377583	0.003177821	0.001792288	0.001459227	0.006029747	0.005035052	0.002137339	0.001712836	0.002783178	0.008993928	WT
9	0.014663308	0.006044362	0.00811592	0.003146969	0.005726533	0.003628882	0.006595159	0.003691459	0.003844003	0.00263241	0.007344562	0.002605131	0.005764379	0.003963786	0.008745682	0.006801018	0.007385829	0.002505435	0.00710143	0.003101689	0.002053653	0.002133007	0.004880418	0.0015176	0.001947291	0.002693629	0.006732515	0.002005951	0.007828399	0.004010974	0.00924072	0.01463948	0.024487003	0.00804871	0.100434513	0.009984269	0.008412079	0.01094205	0.065160169	0.011607588	0.009736456	0.00896856	0.108332292	0.011618883	0.014801438	0.010758848	0.075740903	0.023597722	0.013391092	0.004392061	0.004045691	0.008269548	0.005422996	0.009865533	0.001941305	0.003066607	0.004462804	0.002853196	0.007996399	0.002323509	0.010541861	0.001403914	0.002384012	0.010207076	0.024785887	0.009929876	0.010193555	0.006560118	0.012681901	0.006447212	0.011917454	0.012120398	0.009342992	0.011027219	0.013860425	0.006445865	0.006041432	0.009421001	0.009266884	0.016898065	0.003851264	0.001882312	0.002578137	0.001972419	0.001496973	0.001276461	0.001330153	0.001460289	0.002921692	0.004009898	0.007390611	0.004921843	0.001943765	0.002087398	0.005287122	0.010358713	WT
10	0.006027183	0.007078778	0.012245911	0.004256465	0.005172456	0.006436884	0.011145424	0.005458552	0.005449061	0.004914169	0.01002	0.004237421	0.007934573	0.007525914	0.010805898	0.007513789	0.003166178	0.00476329	0.010102877	0.004543418	0.002335948	0.003101408	0.009473611	0.002512667	0.002991641	0.002780385	0.006787742	0.002256289	0.010173537	0.004884368	0.012897362	0.012940415	0.011749193	0.01098203	0.113580825	0.009995519	0.011262606	0.015390003	0.086655675	0.013819668	0.011058389	0.010927559	0.086947744	0.010345911	0.024589322	0.017842895	0.087841491	0.018923617	0.004030435	0.003342349	0.003937964	0.004351769	0.003042913	0.003016345	0.002202314	0.003200429	0.0021025	0.002443445	0.002508176	0.002374955	0.003958092	0.001912072	0.001949437	0.002983	0.016569566	0.007145712	0.012149039	0.00864181	0.0093674	0.005895583	0.00808781	0.0075962	0.010919437	0.009610884	0.009981516	0.007283195	0.00706538	0.005541108	0.006254445	0.004364389	0.002463044	0.002708455	0.002597381	0.003827087	0.002804253	0.002422216	0.00243014	0.013225871	0.002373791	0.002606341	0.006398408	0.007599856	0.001479661	0.001951094	0.002071277	0.005365396	WT
