name	Other_DHS_1_obs_exp	Other_DHS_2_obs_exp	Other_DHS_3_obs_exp	Other_DHS_4_obs_exp	Other_DHS_5_obs_exp	APOBEC_DHS_1_obs_exp	APOBEC_DHS_2_obs_exp	APOBEC_DHS_3_obs_exp	APOBEC_DHS_4_obs_exp	APOBEC_DHS_5_obs_exp	Other_Rep_1_obs_exp	Other_Rep_2_obs_exp	Other_Rep_3_obs_exp	Other_Rep_4_obs_exp	Other_Rep_5_obs_exp	APOBEC_Rep_1_obs_exp	APOBEC_Rep_2_obs_exp	APOBEC_Rep_3_obs_exp	APOBEC_Rep_4_obs_exp	APOBEC_Rep_5_obs_exp	Other_XPD_1_obs_exp	Other_XPD_2_obs_exp	Other_XPD_3_obs_exp	Other_XPD_4_obs_exp	Other_XPD_5_obs_exp	APOBEC_XPD_1_obs_exp	APOBEC_XPD_2_obs_exp	APOBEC_XPD_3_obs_exp	APOBEC_XPD_4_obs_exp	APOBEC_XPD_5_obs_exp	Other_XR_1_obs_exp	Other_XR_2_obs_exp	Other_XR_3_obs_exp	Other_XR_4_obs_exp	Other_XR_5_obs_exp	APOBEC_XR_1_obs_exp	APOBEC_XR_2_obs_exp	APOBEC_XR_3_obs_exp	APOBEC_XR_4_obs_exp	APOBEC_XR_5_obs_exp	Other_CBS_log_obs_exp	Other_Flank_log_obs_exp	APOBEC_CBS_log_obs_exp	APOBEC_log_Flank_obs_exp	Other_Coding_exon_obs_exp	Other_Intron_obs_exp	Other_3_UTR_obs_exp	Other_5_UTR_obs_exp	Other_Intergenic_obs_exp	APOBEC_Coding_exon_obs_exp	APOBEC_Intron_obs_exp	APOBEC_3_UTR_obs_exp	APOBEC_5_UTR_obs_exp	APOBEC_Intergenic_obs_exp	Other_Open_obs_exp	Other_Close_obs_exp	APOBEC_Open_obs_exp	APOBEC_Close_obs_exp
TCGA-BL-A13J	0.112794	0.103813	0.0369464	-0.000665236	-0.179327	0.0773934	0.0590368	0.176731	0.113954	-0.0221354	1.00893	0.212096	-0.317402	-0.735072	-0.954247	0.452838	0.0953844	-0.133861	-0.169055	-0.317614	0.431602	0.151937	0.00611846	-0.200407	-0.369837	0.144764	0.250949	0.0211954	0.109441	-0.136106	0.244095	0.260014	0.139116	-0.0975667	-0.566797	0.0462675	0.236376	0.175582	0.100063	-0.181851	0.242974	-0.329711	-1.20789	-0.595103	-0.750661	-0.292104	-0.438833	-0.258448	0.227766	-0.273615	-0.0286915	-0.100843	0.276735	0.0363838	-0.705521	0.393416	-0.195545	0.197828
TCGA-BT-A20P	-0.0403812	0.20523	0.0408504	-0.0489061	-0.145235	0.00809959	-0.0486808	0.135876	0.106817	-0.0547039	0.793846	0.175416	-0.102388	-0.43021	-0.729863	-0.00872579	-0.122463	-0.0639806	0.0237947	0.221234	0.304616	0.348595	-0.127403	-0.147306	-0.359192	-0.0544852	0.0177794	0.00223445	-0.0265724	0.202161	0.203602	0.152638	0.135548	-0.0626646	-0.424198	-0.125123	0.0440163	-0.0371386	0.0812442	0.176744	-1.23879	-0.474254	-1.12433	-0.00491207	-0.619306	-0.223842	-0.517753	-0.584001	0.187071	0.114234	0.0513303	0.200379	1.10625	-0.0459809	-0.571583	0.249664	0.101946	-0.0673371
TCGA-BT-A20Q	-0.0974216	-0.08211	0.161385	0.10251	-0.19854	-0.136715	0.132708	0.0755737	0.0818986	0.0849623	0.666311	0.109962	-0.162942	-0.225791	-0.492421	0.0561951	-0.171419	-0.103009	0.0312258	0.206606	0.223694	0.162403	0.0164107	-0.102741	-0.332849	0.123494	-0.029697	-0.0361989	0.00103837	0.185105	0.141197	0.178861	0.00396197	-0.230508	-0.185909	-0.0686195	0.107273	-0.0461418	-0.000487713	0.241193	0.56348	-0.282876	0.352307	0.181662	-0.613794	-0.182329	-0.488429	-0.366253	0.165558	0.176565	0.0387312	-0.352289	0.368578	-0.0325953	-0.332718	0.271306	0.0923834	0.00455173
TCGA-BT-A20T	0.0546401	0.104712	0.0592307	-0.117834	-0.235155	-0.0430364	0.0345961	0.0230992	0.0870826	0.0640137	0.863693	0.206106	-0.26222	-0.52901	-0.738558	0.162855	0.0110662	-0.064756	-0.0822093	0.00966248	0.233176	0.161939	-0.0313297	-0.131656	-0.344166	0.0618729	-0.0613137	-0.0304719	0.0590368	0.134208	0.19256	0.202236	-0.00723882	-0.0272015	-0.536978	-0.0666041	0.11514	0.0229856	0.0593691	0.031494	0.198155	-0.341416	0.358453	0.0689734	-0.751426	-0.246087	-0.781395	-0.39616	0.205993	0.0124829	-0.017512	-0.134553	0.591402	0.00930417	-0.594822	0.345612	-0.0135366	0.0893083
TCGA-BT-A20V	-0.0865656	0.015055	-0.114479	-0.120801	-0.251242	-0.115557	0.049812	0.0867158	-0.215833	-0.190902	0.997878	0.186057	-0.304259	-0.589121	-0.826816	0.707171	0.0492125	-0.143086	-0.420443	-0.43579	0.363048	0.0914764	-0.238599	-0.316171	-0.471717	0.202499	-0.031747	-0.186106	-0.0971407	-0.279657	0.0652276	0.24295	-0.0263755	-0.289094	-0.614324	0.165018	0.080262	-0.0603702	-0.179417	-0.435915	0.0770379	-0.59603	0.424686	-0.432959	-0.805661	-0.251197	-0.393863	-0.976625	0.22184	-0.276952	-0.118091	0.220095	-0.12999	0.0898235	-0.618843	0.221481	-0.358493	0.0955734
TCGA-BT-A2LA	-0.0142825	0.0930869	0.0291489	0.0987295	-0.0200771	-0.00125569	0.0703069	0.0722156	0.113714	0.005285	0.699747	0.243401	-0.150327	-0.444064	-0.42717	0.322424	0.0205982	-0.094167	-0.154959	-0.0917927	0.341109	0.156332	-0.0495286	-0.00194318	-0.16962	0.129309	0.103263	-0.0762788	0.102645	-0.00347531	0.117349	0.156034	0.23678	-0.0265959	-0.267528	0.0907451	0.0499931	0.0861723	0.0557093	-0.022134	0.291344	-0.511281	0.139234	-0.131822	-0.599318	-0.163446	-0.419293	-2.22822	0.170156	-0.197082	-0.0316865	-0.470983	0.913539	0.0366932	-0.379905	0.282926	-0.0910565	0.144777
TCGA-BT-A3PH	-0.00391646	0.115726	0.0215792	0.0597706	0.0021048	0.0204844	0.0423221	0.0424342	0.0907857	0.136992	0.660573	0.196632	-0.187857	-0.374838	-0.388063	-0.123973	-0.133874	-0.0349405	0.0582334	0.273289	0.332691	0.215691	-0.0156061	-0.0639007	-0.221174	0.0240927	-0.0629329	-0.0158117	0.115553	0.255537	0.090447	0.239826	-0.00559116	0.0917743	-0.215968	-0.149665	0.00309846	0.0935467	0.124778	0.23798	0.69299	-0.289815	0.622799	0.190425	-0.31373	-0.183695	-0.146732	-0.551993	0.158234	0.331132	0.0560147	0.295523	1.26097	-0.0709241	-0.340678	0.270027	0.169656	-0.0449566
TCGA-BT-A3PJ	-0.0699137	0.099753	0.0750808	0.029361	0.00442229	0.0172806	-0.00130623	0.10013	0.0659307	0.0450235	0.336798	0.00967681	-0.0869762	-0.141877	-0.102001	0.116365	-0.159095	-0.0995826	-0.0153232	0.191676	0.175723	0.0612785	-0.0178216	-0.00385136	-0.0692793	-0.0506952	0.015312	-0.041184	0.0943036	0.195562	-0.0568258	0.110657	0.0362994	0.0257517	0.0238373	-0.139951	-0.0365865	0.0322843	0.0552651	0.285568	3.06305	0.298799	1.90976	0.501862	-0.254437	-0.0445815	-0.353093	0.678234	0.0505505	0.0635167	0.0348918	0.0728055	1.21457	-0.0416695	-0.0805318	0.104108	0.124275	-0.0368337
TCGA-CF-A27C	0.151066	0.231543	0.10494	0.0136695	-0.187306	-0.0305853	0.0639309	0.00857294	0.0521655	0.0683681	0.975491	0.138369	-0.295539	-0.589058	-0.754388	0.0910972	-0.0114193	-0.0693096	-0.11609	0.138985	0.410862	0.26005	0.0602965	-0.0457694	-0.337895	0.0954654	0.00656374	-0.0512691	0.051915	0.060255	0.303448	0.241511	0.0357224	0.0580671	-0.328266	-0.0678541	-0.0234311	0.0931815	0.0604902	0.093452	0.358453	-0.342333	0.543724	-0.0577505	-0.347722	-0.24235	-0.0878024	-0.579609	0.187248	0.229182	0.0432185	0.0883045	0.697774	-0.0575253	-0.632967	0.406689	0.0609466	0.0390963
TCGA-DK-A1A6	0.0588429	0.131352	0.0476082	-0.0489404	-0.14204	-0.0420215	0.0935872	-0.0435686	0.0110233	0.0394613	0.966298	0.291945	-0.281548	-0.775204	-0.963802	0.0940739	-0.0470164	-0.083849	-0.0320346	0.113767	0.321212	0.255803	-0.03726	-0.0848968	-0.448932	-0.0124783	-0.0619612	-0.0744608	0.108879	0.0933438	0.297074	0.283092	0.104806	-0.112545	-0.662741	0.0147124	0.0601027	0.0390682	-0.0521289	-0.00119793	0.818212	-0.59479	0.764983	0.00529937	-0.545342	-0.285854	-1.38386	-0.60005	0.229453	0.00939017	0.00659246	0.183531	0.538816	-0.0129178	-0.772579	0.415715	0.044576	0.0553762
